,group,sid,time,0
0,ppre_A60,1552,-,-
1,ppre_A60,1552,-.1,-
2,ppre_A60,1552,-.2,-
3,ppre_A60,1552,3,0.2972
4,ppre_A60,1553,-,-
5,ppre_A60,1553,-.1,-
6,ppre_A60,1553,-.2,-
7,ppre_A60,1553,3,0.3963
8,ppre_A60,1554,-,-
9,ppre_A60,1554,-.1,-
10,ppre_A60,1554,-.2,-
11,ppre_A60,1554,3,0.5461
12,ppre_A60,1557,-,-
13,ppre_A60,1557,-.1,-
14,ppre_A60,1557,-.2,-
15,ppre_A60,1557,3,0.5067
16,ppre_A60,1558,-,-
17,ppre_A60,1558,-.1,-
18,ppre_A60,1558,-.2,-
19,ppre_A60,1558,3,0.167
20,ppre_A60,1559,-,-
21,ppre_A60,1559,-.1,-
22,ppre_A60,1559,-.2,-
23,ppre_A60,1559,3,0.2755
24,ppre_A60,1560,-,-
25,ppre_A60,1560,-.1,-
26,ppre_A60,1560,-.2,-
27,ppre_A60,1560,3,0.1929
28,ppre_A60,1561,-,-
29,ppre_A60,1561,-.1,-
30,ppre_A60,1561,-.2,-
31,ppre_A60,1561,3,0.2205
32,npre_A60,1529,-,-
33,npre_A60,1529,-.1,-
34,npre_A60,1529,-.2,-
35,npre_A60,1529,3,0.4047
36,npre_A60,1542,-,-
37,npre_A60,1542,-.1,-
38,npre_A60,1542,-.2,-
39,npre_A60,1542,3,0.4162
40,npre_A60,1543,-,-
41,npre_A60,1543,-.1,-
42,npre_A60,1543,-.2,-
43,npre_A60,1543,3,0.3768
44,npre_A60,1544,-,-
45,npre_A60,1544,-.1,-
46,npre_A60,1544,-.2,-
47,npre_A60,1544,3,0.3617
48,npre_A60,1545,-,-
49,npre_A60,1545,-.1,-
50,npre_A60,1545,-.2,-
51,npre_A60,1545,3,0.4015
52,npre_A60,1550,-,-
53,npre_A60,1550,-.1,-
54,npre_A60,1550,-.2,-
55,npre_A60,1550,3,0.3763
62,A30,1512,-,0.4948
63,A30,1512,-.1,0.4562
64,A30,1512,-.2,0.4732
65,A30,1512,3,0.4551
66,A30,1519,-,0.3897
67,A30,1519,-.1,0.4235
68,A30,1519,-.2,0.3967
69,A30,1519,3,0.3869
70,A30,1528,-,0.4399
71,A30,1528,-.1,0.4757
72,A30,1528,-.2,0.4227
73,A30,1528,3,0.4555
74,A30,1532,-,0.2617
75,A30,1532,-.1,0.2958
76,A30,1532,-.2,0.1774
77,A30,1532,3,0.1526
78,A30,1535,-,0.3049
79,A30,1535,-.1,0.3177
80,A30,1535,-.2,0.3276
81,A30,1535,3,0.306
82,A30,1547,-,0.4661
83,A30,1547,-.1,0.4392
84,A30,1547,-.2,0.4533
85,A30,1547,3,0.4638
86,A30,1548,-,0.4193
87,A30,1548,-.1,0.3845
88,A30,1548,-.2,0.3636
89,A30,1548,3,0.3281
90,A60,1503,-,0.3379
91,A60,1503,-.1,0.193
92,A60,1503,-.2,0.2511
93,A60,1503,3,0.2031
94,A60,1515,-,0.3936
95,A60,1515,-.1,0.3083
96,A60,1515,-.2,0.3415
97,A60,1515,3,0.2729
98,A60,1517,-,0.3796
99,A60,1517,-.1,0.2819
100,A60,1517,-.2,0.2099
101,A60,1517,3,0.3767
102,A60,1526,-,0.4614
103,A60,1526,-.1,0.2218
104,A60,1526,-.2,0.2092
105,A60,1526,3,0.2366
106,A60,1527,-,0.4299
107,A60,1527,-.1,0.3763
108,A60,1527,-.2,0.3705
109,A60,1527,3,0.339
110,A60,1537,-,0.4252
111,A60,1537,-.1,0.3344
112,A60,1537,-.2,0.3419
113,A60,1537,3,0.2382
114,A60,1541,-,0.3548
115,A60,1541,-.1,0.3648
116,A60,1541,-.2,0.3954
117,A60,1541,3,0.4437
118,A120,1486,-,0.416
119,A120,1486,-.1,0.3431
120,A120,1486,-.2,0.3134
121,A120,1486,3,0.2919
122,A120,1487,-,0.4586
123,A120,1487,-.1,0.3896
124,A120,1487,-.2,0.4044
125,A120,1487,3,0.3637
126,A120,1489,-,0.3626
127,A120,1489,-.1,0.2491
128,A120,1489,-.2,0.0294
129,A120,1489,3,0.0304
130,A120,1490,-,0.4493
131,A120,1490,-.1,0.3417
132,A120,1490,-.2,0.3467
133,A120,1490,3,0.3938
134,A120,1491,-,0.3401
135,A120,1491,-.1,0.1526
136,A120,1491,-.2,0.0178
137,A120,1491,3,0.0311
138,A120,1492,-,0.3144
139,A120,1492,-.1,0.1758
140,A120,1492,-.2,0.167
141,A120,1492,3,0.239
142,A120,1493,-,0.4623
143,A120,1493,-.1,0.4144
144,A120,1493,-.2,0.4274
145,A120,1493,3,0.3928
146,A120,1494,-,0.4272
147,A120,1494,-.1,0.4042
148,A120,1494,-.2,0.3792
149,A120,1494,3,0.377
150,A240,715,-,0.515
151,A240,715,-.1,0.373
152,A240,715,-.2,0.404
153,A240,715,3,0.315
154,A240,725,-,0.272
155,A240,725,-.1,0.261
156,A240,725,-.2,0.166
157,A240,725,3,0.203
158,A240,726,-,0.355
159,A240,726,-.1,0.238
160,A240,726,-.2,0.245
161,A240,726,3,0.221
162,A240,727,-,0.417
163,A240,727,-.1,0.188
164,A240,727,-.2,0.322
165,A240,727,3,0.309
166,A240,748,-,0.381
167,A240,748,-.1,0.351
168,A240,748,-.2,0.367
169,A240,748,3,0.353
170,A240,1057,-,0.472
171,A240,1057,-.1,0.398
172,A240,1057,-.2,0.385
173,A240,1057,3,0.375
174,A240,1060,-,0.3419
175,A240,1060,-.1,0.192
176,A240,1060,-.2,0.161
177,A240,1060,3,0.36
